"filename", "language", "YAML", "Markdown", "C++", "HTML", "CMake", "JSON", "CSS", "JavaScript", "Swift", "Dart", "XML", "Java Properties", "Groovy", "comment", "blank", "total"
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\windows\flutter\generated_plugins.cmake", "CMake", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 25
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\windows\runner\flutter_window.cpp", "C++", 0, 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 62
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\windows\runner\utils.cpp", "C++", 0, 0, 53, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 65
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\windows\runner\win32_window.cpp", "C++", 0, 0, 183, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 48, 246
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 22, 99
"Total", "-", 50, 13, 502, 41, 37, 269, 48, 5, 38, 8418, 490, 8, 89, 422, 1023, 11453
