"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\main.dart", "Dart", 0, 0, -1, 1, 0
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\QRIS\qrispage.dart", "Dart", 0, 141, 70, 16, 227
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\homepage.dart", "Dart", 0, 2, 0, 0, 2
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\loginpage.dart", "Dart", 0, 22, 2, 4, 28
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\pinpage.dart", "Dart", 0, -5, 32, -4, 23
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\portfolio\Jualalert.dart", "Dart", 0, 741, 9, 20, 770
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\portfolio\Topup.dart", "Dart", 0, 287, 2, 7, 296
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\portfolio\alokasicontent.dart", "Dart", 0, 101, 0, 6, 107
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\portfolio\alokasidana.dart", "Dart", 0, 140, 12, 12, 164
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\portfolio\invest.dart", "Dart", 0, 130, 13, 22, 165
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\portfolio\kategori.dart", "Dart", 0, 115, 2, 5, 122
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\portfolio\kontenportofolio.dart", "Dart", 0, 345, 2, 25, 372
