"filename", "language", "Markdown", "YAML", "Groovy", "C++", "Java Properties", "JSON", "Swift", "CMake", "XML", "JavaScript", "CSS", "HTML", "Dart", "comment", "blank", "total"
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\reksadanapage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 739, 8, 27, 774
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\saham\sahamdetail.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1399, 10, 32, 1441
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\saham\sahammorepage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 273, 11, 41, 325
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\saham\sahamorder.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 1, 4, 78
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\saham\sahampinpage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 680, 11, 75, 766
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\sbnpage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 322, 4, 15, 341
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\setortunaidetailpage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 162, 2, 37, 201
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\setortunaipage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 249, 1, 24, 274
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\setortunaipinpage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 633, 11, 67, 711
"c:\Users\julsa\Documents\Barang jul\Document\Kuliah\Cawu 4\Software Engineering\Project\Uangin_alpha\uangin\lib\pages\tarikTunai\tariktunaipage.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 431, 10, 35, 476
